mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2791;2.71973;0.000348148
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/256x256_out_hybrid_1d_seq.h5;seq;43.2791;2.8545;0.0003654
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/256x256_out_hybrid_1d_seq.h5;seq;43.2791;2.83584;0.000363011
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2791;2.71944;0.000348111
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/256x256_out_hybrid_1d_seq.h5;seq;43.2791;2.83487;0.000362886
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/256x256_out_hybrid_1d_seq.h5;seq;43.2791;2.83583;0.000363009
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3819;5.45892;0.00139757
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/512x512_out_hybrid_1d_seq.h5;seq;28.3819;5.68134;0.00145452
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/512x512_out_hybrid_1d_seq.h5;seq;28.3819;5.67476;0.00145283
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3819;5.45471;0.00139649
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/512x512_out_hybrid_1d_seq.h5;seq;28.3819;5.67902;0.00145392
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/512x512_out_hybrid_1d_seq.h5;seq;28.3819;5.67879;0.00145386
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9999;13.6173;0.00697251
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/1024x1024_out_hybrid_1d_seq.h5;seq;22.9999;13.7221;0.00702618
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/1024x1024_out_hybrid_1d_seq.h5;seq;22.9999;13.7527;0.00704185
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9999;13.2761;0.00679782
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/1024x1024_out_hybrid_1d_seq.h5;seq;22.9999;13.7544;0.0070427
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/1024x1024_out_hybrid_1d_seq.h5;seq;22.9999;13.7543;0.00704265
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;27.3416;0.028014
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;28.3174;0.0290137
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;27.9567;0.0286441
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;27.3258;0.0279977
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;28.3772;0.029075
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;27.9861;0.0286743
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;55.0001;0.112705
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;57.034;0.116873
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;56.8146;0.116423
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;55.2145;0.113144
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;56.9354;0.116671
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/4096x4096_out_hybrid_1d_seq.h5;seq;20.387;57.6017;0.118036
2;2;1;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.73665;3.50291e-05
2;2;1;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/256x256_out_hybrid_1d_par.h5;par;83.7937;3.66253;4.68803e-05
2;2;1;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/256x256_out_hybrid_1d_par.h5;par;83.7937;4.11713;5.26993e-05
2;2;1;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;3.41135;4.36652e-05
2;2;1;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/256x256_out_hybrid_1d_par.h5;par;83.7937;4.12066;5.27444e-05
2;2;1;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/256x256_out_hybrid_1d_par.h5;par;83.7937;4.81168;6.15895e-05
2;2;1;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;2.38607;6.10842e-05
2;2;1;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/512x512_out_hybrid_1d_par.h5;par;45.6217;3.49391;8.94452e-05
2;2;1;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/512x512_out_hybrid_1d_par.h5;par;45.6217;3.97319;0.000101715
2;2;1;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;2.86354;7.33077e-05
2;2;1;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/512x512_out_hybrid_1d_par.h5;par;45.6217;3.88177;9.93745e-05
2;2;1;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/512x512_out_hybrid_1d_par.h5;par;45.6217;4.64708;0.000118967
2;2;1;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;3.4207;0.000175142
2;2;1;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/1024x1024_out_hybrid_1d_par.h5;par;29.2269;4.94405;0.000253139
2;2;1;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/1024x1024_out_hybrid_1d_par.h5;par;29.2269;5.26871;0.000269762
2;2;1;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;4.046;0.000207158
2;2;1;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/1024x1024_out_hybrid_1d_par.h5;par;29.2268;5.27771;0.000270222
2;2;1;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/1024x1024_out_hybrid_1d_par.h5;par;29.2268;5.64124;0.000288835
2;2;1;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;5.2593;0.000538587
2;2;1;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/2048x2048_out_hybrid_1d_par.h5;par;23.2938;8.95222;0.000916766
2;2;1;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/2048x2048_out_hybrid_1d_par.h5;par;23.2938;8.97556;0.000919157
2;2;1;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;5.58868;0.000572317
2;2;1;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/2048x2048_out_hybrid_1d_par.h5;par;23.2938;9.05461;0.000927251
2;2;1;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/2048x2048_out_hybrid_1d_par.h5;par;23.2938;9.3877;0.000961362
2;2;1;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;11.1477;0.00228342
2;2;1;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/4096x4096_out_hybrid_1d_par.h5;par;21.1716;20.3038;0.0041589
2;2;1;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/4096x4096_out_hybrid_1d_par.h5;par;21.1716;19.4792;0.00398999
2;2;1;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;11.2905;0.00231268
2;2;1;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/4096x4096_out_hybrid_1d_par.h5;par;21.1716;20.9572;0.00429275
2;2;1;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881640.isrv1/4096x4096_out_hybrid_1d_par.h5;par;21.1716;19.9396;0.00408431
4;4;1;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.73495;3.50074e-05
