mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
2;1;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.18646;8.15745e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;2.06923;5.29729e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.11307;7.96956e-05
2;1;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.25992;8.34551e-05
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;3.03605;0.000155447
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.63653;0.000237393
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.76307;0.000243872
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;3.44654;0.000176465
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.76673;0.00024406
2;1;2;18;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/1024x1024_out_hybrid_2d_par.h5;par;29.2268;4.8564;0.000248651
2;1;2;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;4.13457;0.000423407
2;1;2;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;7.6403;0.000782417
2;1;2;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;7.42398;0.000760264
2;1;2;18;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;4.2138;0.000431521
2;1;2;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;7.86474;0.000805401
2;1;2;18;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/2048x2048_out_hybrid_2d_par.h5;par;23.2938;7.79108;0.000797858
2;1;2;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;9.44998;0.00193568
2;1;2;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;18.7075;0.00383193
2;1;2;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;16.7907;0.00343931
2;1;2;18;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;9.63775;0.00197414
2;1;2;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;18.7576;0.00384219
2;1;2;18;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/4096x4096_out_hybrid_2d_par.h5;par;21.1716;16.9002;0.00346175
4;2;2;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.29117;2.9327e-05
4;2;2;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;2.97669;3.81016e-05
4;2;2;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;6.4528;8.25958e-05
4;2;2;18;256;78125;50;0.001;input_data_256.h5;;par;83.7937;3.17574;4.06494e-05
4;2;2;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;4.03597;5.16604e-05
4;2;2;18;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/256x256_out_hybrid_2d_par.h5;par;83.7937;7.42789;9.5077e-05
4;2;2;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.70533;4.36571e-05
4;2;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;2.66626;6.82571e-05
4;2;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;5.79654;0.000148393
4;2;2;18;512;39062;50;0.001;input_data_512.h5;;par;45.6217;2.29614;5.8782e-05
4;2;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;3.28627;8.41297e-05
4;2;2;18;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881641.isrv1/512x512_out_hybrid_2d_par.h5;par;45.6217;5.86108;0.000150045
4;2;2;18;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;1.91809;9.82076e-05
